2025-02-27 11:01:16.826 [http-nio-8082-exec-5] INFO  c.q.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求开始: [用户注册], 入参: {"phone":"18019939108"}, 请求类: UserController, 请求方法: register =================================== 
2025-02-27 11:01:16.858 [http-nio-8082-exec-5] DEBUG c.q.x.u.b.domain.mapper.UserDOMapper.selectByPhone - ==>  Preparing: select id, password from t_user where phone = ?
2025-02-27 11:01:16.864 [http-nio-8082-exec-5] DEBUG c.q.x.u.b.domain.mapper.UserDOMapper.selectByPhone - ==> Parameters: 18019939108(String)
2025-02-27 11:01:16.868 [http-nio-8082-exec-5] DEBUG c.q.x.u.b.domain.mapper.UserDOMapper.selectByPhone - <==      Total: 1
2025-02-27 11:01:16.868 [http-nio-8082-exec-5] INFO  c.q.x.user.biz.service.impl.UserServiceImpl - ==> 用户是否注册, phone: 18019939108, userDO: {"id":2100,"xiaohashuId":null,"password":null,"nickname":null,"avatar":null,"birthday":null,"backgroundImg":null,"phone":null,"sex":null,"status":null,"introduction":null,"createTime":null,"updateTime":null,"isDeleted":null}
2025-02-27 11:01:16.870 [http-nio-8082-exec-5] INFO  c.q.f.b.operationlog.aspect.ApiOperationLogAspect - ====== 请求结束: [用户注册], 耗时: 43ms, 出参: {"success":true,"message":null,"errorCode":null,"data":2100} =================================== 
2025-02-27 11:01:16.951 [http-nio-8082-exec-6] INFO  c.q.f.b.context.filter.HeaderUserId2ContextFilter - ===== 设置 userId 到 ThreadLocal 中， 用户 ID: 2100
2025-02-27 11:01:16.952 [http-nio-8082-exec-6] DEBUG c.q.x.u.b.d.mapper.UserDOMapper.selectByPrimaryKey - ==>  Preparing: select id, xiaohashu_id, `password`, nickname, avatar, birthday, background_img, phone, sex, `status`, introduction, create_time, update_time, is_deleted from t_user where id = ?
2025-02-27 11:01:16.953 [http-nio-8082-exec-6] DEBUG c.q.x.u.b.d.mapper.UserDOMapper.selectByPrimaryKey - ==> Parameters: 2100(Long)
2025-02-27 11:01:16.962 [http-nio-8082-exec-6] DEBUG c.q.x.u.b.d.mapper.UserDOMapper.selectByPrimaryKey - <==      Total: 1
2025-02-27 11:01:16.966 [http-nio-8082-exec-6] INFO  c.q.f.b.context.filter.HeaderUserId2ContextFilter - ===== 删除 ThreadLocal， userId: 2100
2025-02-27 15:32:56.323 [nacos-grpc-client-executor-127.0.0.1-7762] INFO  com.alibaba.nacos.common.remote.client - [6eeb2491-b78d-4c50-91e0-55a4aae69ac4] Receive server push request, request = NotifySubscriberRequest, requestId = 36
2025-02-27 15:32:56.336 [nacos-grpc-client-executor-127.0.0.1-7762] INFO  com.alibaba.nacos.client.naming - removed ips(1) service: DEFAULT_GROUP@@xiaohashu-oss -> [{"ip":"192.168.1.3","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@xiaohashu-oss","metadata":{"preserved.register.source":"SPRING_CLOUD","IPv6":"[240e:b65:56e:2b00:4b38:166:d82c:3df6]"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
2025-02-27 15:32:56.338 [nacos-grpc-client-executor-127.0.0.1-7762] INFO  com.alibaba.nacos.client.naming - current ips:(0) service: DEFAULT_GROUP@@xiaohashu-oss -> []
2025-02-27 15:32:56.343 [nacos-grpc-client-executor-127.0.0.1-7762] INFO  com.alibaba.nacos.common.remote.client - [6eeb2491-b78d-4c50-91e0-55a4aae69ac4] Ack server push request, request = NotifySubscriberRequest, requestId = 36
2025-02-27 15:33:00.585 [nacos-grpc-client-executor-127.0.0.1-7763] INFO  com.alibaba.nacos.common.remote.client - [6eeb2491-b78d-4c50-91e0-55a4aae69ac4] Receive server push request, request = NotifySubscriberRequest, requestId = 38
2025-02-27 15:33:00.586 [nacos-grpc-client-executor-127.0.0.1-7763] INFO  com.alibaba.nacos.client.naming - new ips(1) service: DEFAULT_GROUP@@xiaohashu-oss -> [{"ip":"192.168.1.3","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@xiaohashu-oss","metadata":{"preserved.register.source":"SPRING_CLOUD","IPv6":"[240e:b67:57b:ab00:fbf2:c156:c48c:ed8b]"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
2025-02-27 15:33:00.586 [nacos-grpc-client-executor-127.0.0.1-7763] INFO  com.alibaba.nacos.client.naming - current ips:(1) service: DEFAULT_GROUP@@xiaohashu-oss -> [{"ip":"192.168.1.3","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@xiaohashu-oss","metadata":{"preserved.register.source":"SPRING_CLOUD","IPv6":"[240e:b67:57b:ab00:fbf2:c156:c48c:ed8b]"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
2025-02-27 15:33:00.586 [nacos-grpc-client-executor-127.0.0.1-7763] INFO  com.alibaba.nacos.common.remote.client - [6eeb2491-b78d-4c50-91e0-55a4aae69ac4] Ack server push request, request = NotifySubscriberRequest, requestId = 38
2025-02-27 15:34:47.927 [nacos-grpc-client-executor-127.0.0.1-7784] INFO  com.alibaba.nacos.common.remote.client - [6eeb2491-b78d-4c50-91e0-55a4aae69ac4] Receive server push request, request = NotifySubscriberRequest, requestId = 42
2025-02-27 15:34:47.928 [nacos-grpc-client-executor-127.0.0.1-7784] INFO  com.alibaba.nacos.client.naming - removed ips(1) service: DEFAULT_GROUP@@xiaohashu-oss -> [{"ip":"192.168.1.3","port":8081,"weight":1.0,"healthy":true,"enabled":true,"ephemeral":true,"clusterName":"DEFAULT","serviceName":"DEFAULT_GROUP@@xiaohashu-oss","metadata":{"preserved.register.source":"SPRING_CLOUD","IPv6":"[240e:b67:57b:ab00:fbf2:c156:c48c:ed8b]"},"ipDeleteTimeout":30000,"instanceHeartBeatInterval":5000,"instanceHeartBeatTimeOut":15000}]
2025-02-27 15:34:47.928 [nacos-grpc-client-executor-127.0.0.1-7784] INFO  com.alibaba.nacos.client.naming - current ips:(0) service: DEFAULT_GROUP@@xiaohashu-oss -> []
2025-02-27 15:34:47.929 [nacos-grpc-client-executor-127.0.0.1-7784] INFO  com.alibaba.nacos.common.remote.client - [6eeb2491-b78d-4c50-91e0-55a4aae69ac4] Ack server push request, request = NotifySubscriberRequest, requestId = 42
2025-02-27 15:34:52.361 [nacos-grpc-client-executor-127.0.0.1-7785] INFO  com.alibaba.nacos.common.remote.client - [6eeb2491-b78d-4c50-91e0-55a4aae69ac4] Receive server push request, request = NotifySubscriberRequest, requestId = 44
